,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29
0,80.44197778992084,62.76360185933273,46.91279609209245,17.580598137415826,52.61647602953806,27.273485979067292,45.85200323244375,73.85929491460178,54.744797197924335,55.466210975960536,43.78073288637122,61.27170354759676,91.90627358617526,41.591003768602974,47.96517584176303,27.405075933629387,63.66376430609264,21.344294474923043,36.38162898336375,79.73026759274246,7.532072463141681,66.60643569135317,25.66405295975943,11.342041664665125,28.496017461865907,62.32584909754867,7.751877414022013,16.47045798411133,43.25585409205437,32.287479147918596
1,86.58261103204114,40.56560412373672,5.679505895993842,55.310498743145864,48.617761859087125,68.5970213036686,78.74915316161398,30.474890028121205,50.820144407788284,61.8711569912627,27.69493267003662,66.61285185116127,60.43883383495623,55.15392452845976,46.13528539889516,64.2504341756029,93.2686654472374,85.46957039536866,90.4260391519974,58.93406954559052,71.24604586831184,10.027909770444943,5.469935422006566,98.91735834912029,4.772703915186593,13.869976554560804,76.77526942477148,11.431314033323192,44.41141931665796,27.382909312090455
2,46.01953275549376,36.96499148382759,43.93351750871641,85.9647287194027,78.7442183536044,95.29750781861979,63.415359730135435,49.363624893886936,10.05278651364161,15.083000644319277,65.19684116719412,59.59870813668383,96.70780810439992,79.3509386175981,78.78562077836007,98.23371027637022,68.00610421558069,30.63963524133211,92.33334077843266,55.4342562884949,84.23096653348748,73.46419205465104,57.10510692421086,42.62983680870518,7.734132273916183,61.01608742211374,58.99145718794093,7.145256112197263,18.52868795043383,3.5819337269588414
3,10.668664242823889,83.91141888398666,52.6925016437319,56.94482387775987,1.6774176775470218,51.67406919563122,30.70578493063283,34.6165395277654,53.767323715730505,37.127161935839105,28.836246170343294,17.745090167304088,44.44111776832722,72.32184831783127,5.9790159080186704,21.37084566458729,12.913499564106312,90.25237226736486,31.820328052435897,94.59695335152387,14.633843031408977,30.518043042335897,95.43171035679754,59.699176500067296,52.59038636094986,34.66882769598556,13.619765922518212,22.57632416667299,45.67717802419131,21.886244598569583
4,57.050254629970695,76.94784798590423,36.99594011929596,19.00941873630435,10.925757744082654,13.972231581563598,43.66209831063854,87.18971883432617,73.53450365501885,53.00963191196097,34.96069024193187,95.47836981930693,4.158904264677132,99.35848243374308,29.03189245586606,73.83388189039765,78.33251494846057,86.8367917080028,70.14069957514913,43.07092287002705,53.168105187829596,25.0259196125877,81.27188200856112,97.59433645738913,10.624933815784743,26.451922926068583,75.85930759907511,95.04878074019898,67.36900434301795,18.778430409355806
5,69.18126789566847,92.42428825093918,36.1637605475996,78.93777767044735,12.234671854004265,67.10365907390823,60.453224773510186,3.8591717762628597,79.47503422261626,45.39626016744437,85.4733651138336,59.41705641929481,42.667442520764624,77.27240943172103,39.28804601122656,25.756196904162,38.9621522839387,41.42867090815242,22.188641249713147,0.5574192629600572,81.9389479499776,73.20349879179753,35.86177895090368,20.09372117484648,49.16435784049391,22.0205146112055,1.7948406077593404,65.57224813247787,23.617056704450057,78.19053300674551
6,55.92923871346006,64.40572386790286,10.574148459573053,12.57702608539396,23.83514821939887,56.72762009845827,35.3650420774249,60.85175595553206,47.54815182035706,22.97894370807263,21.44887712057254,62.719780145895264,4.426392350593522,99.51754359676826,70.78076553855239,4.312484404457129,18.000032952109347,54.37370663637354,21.885004781120763,34.16187220486617,19.28963139461455,91.2828661286883,72.00173716545766,87.22467725202193,74.91586118013915,28.708185392188568,67.55678767011862,19.27035487911779,0.2858897105965541,82.1239080756029
7,75.91612774589413,4.244618952455415,71.5249671090434,52.65279390421546,27.6343252676707,32.18426823514462,34.45186466325957,40.390920440821276,75.72656265080904,12.52408538713431,86.11687985396736,46.08621321651831,73.77400697415655,45.56694570805768,73.85065067364073,29.533414275678428,48.09527747184593,41.050267465998026,20.859227138260817,13.215454777556113,51.20777146732026,35.78850161853844,21.865086939386114,89.15422676227904,18.192472066095533,64.90704274343247,36.04746033171185,39.467605822181696,88.14238817442383,98.05311480162298
8,93.27605396481705,39.213542454222804,85.25249529751295,4.555289864715595,33.8922512331055,64.57706712484391,12.138789345961698,27.606936918182267,29.339712754519553,84.64898249156676,2.4554643957405475,55.683925224540864,30.13372124089888,22.867223320295892,96.0399002961861,50.93458322592139,92.6015920164831,62.734059572217504,73.23878650212498,98.75184809146324,43.30130680887366,65.84569309923104,22.53865427107217,81.97234819255998,34.05010955985092,54.35764676346043,3.9463135097896562,26.191725455382596,89.70719166185444,18.898958529744558
9,80.64415055989673,38.04087691339372,68.20954142497683,42.2222850969005,73.4636576231131,59.12916741734728,6.287229912609349,37.92518097225085,83.62767161215838,49.35675685882397,18.394564364224742,15.717480440825128,50.06517748622134,50.306722671743884,73.39853555983566,26.584598881098742,61.611640753337994,81.14024768642429,96.22703139043132,51.67630780960975,19.42827079677213,12.453216677072376,69.26085008961151,73.27406253409639,40.99718252628354,64.54417732348199,84.33898521561119,63.409409023510285,51.4895959399861,45.72929634530478
